STATE,STATE NAME,NEW GATING SCORE,14-DAY TREND FOR COVID+,14-DAY TREND OF COVID+,14-DAY CHANGE IN COVID+,TOTAL COVID+,CASES-T-29,CASES-T-28,CASES-T-27,CASES-T-26,CASES-T-25,CASES-T-24,CASES-T-23,CASES-T-22,CASES-T-21,CASES-T-20,CASES-T-19,CASES-T-18,CASES-T-17,CASES-T-16,CASES-T-15,CASES-T-14,CASES-T-13,CASES-T-12,CASES-T-11,CASES-T-10,CASES-T-9,CASES-T-8,CASES-T-7,CASES-T-6,CASES-T-5,CASES-T-4,CASES-T-3,CASES-T-2,CASES-T-1,CASES-T-0,INFLUENZA-LIKE ILLNESS,COVID-LIKE SYMPTOMS (95% CI),GATING-CRITERIA-ILI,TESTS CONDUCTED (7-DAY AVG),% OF TEST TARGET (INCIDENCE ADJUSTED),ICU OCCUPIED,BEDS OCCUPIED,RT RANGE (90% CI),DOUBLING TIME (DAYS),DEATHS-13,DEATHS-12,DEATHS-11,DEATHS-10,DEATHS-09,DEATHS-08,DEATHS-07,DEATHS-06,DEATHS-05,DEATHS-04,DEATHS-03,DEATHS-02,DEATHS-01,DEATHS-00
Georgia,Georgia,Bruised Red,Decreasing,-18% ^Decreasing^,-18,296833,2834,2727,2547,2582,2534,2436,2417,2485,2382,2373,2333,2249,2219,2146,2031,2049,2003,2031,1997,1970,2032,1905,1808,1811,1691,1632,1622,1588,1647,1640,Minimal ^Level 1^,0.5% ^0.4% - 0.7%^,Green,17890,33,79% ^Elevated^,79% ^Elevated^,0.9 ^0.8 - 1.0^,123.0,69.14,67.86,65.71,57.29,61.86,58.86,48.14,47.57,48.0,45.0,44.29,42.29,44.14,46.86
Hawaii,Hawaii,Red,Decreasing,-51% ^Decreasing^,-51,10779,221,225,236,219,219,218,219,223,253,196,202,246,251,255,248,213,238,247,234,235,222,217,212,196,162,156,141,128,121,117,Minimal ^Level 1^,0.4% ^0.0% - 0.7%^,Green,3556,92,71% ^Elevated^,73% ^Elevated^,0.7 ^0.5 - 0.9^,61.0,3.57,3.43,3.43,3.14,3.14,3.14,2.29,2.0,2.29,2.14,2.14,1.86,2.0,1.86
Idaho,Idaho,Bruised Red,Decreasing,-5% ^Decreasing^,-5,35532,427,406,390,366,356,314,312,313,304,307,298,286,288,288,288,288,270,269,258,259,257,257,236,230,235,241,251,241,230,256,Minimal ^Level 1^,0.8% ^0.5% - 1.1%^,Green,1562,18,51% ^Normal^,48% ^Normal^,0.9 ^0.8 - 1.1^,94.0,6.0,5.0,4.14,4.14,3.71,3.71,3.43,3.0,4.86,5.0,4.29,4.43,4.29,4.86
Illinois,Illinois 😷,Red,Decreasing,-10% ^Decreasing^,-10,266305,1784,1811,1904,1904,1903,1979,2026,2003,1994,1975,1957,1977,1909,1923,1931,1904,1900,1851,2302,2434,2350,2309,2295,2182,2267,1798,1700,1708,1707,1718,Minimal ^Level 1^,0.5% ^0.4% - 0.6%^,Green,47469,84,52% ^Normal^,61% ^Normal^,1.0 ^0.9 - 1.1^,105.0,19.57,19.71,22.29,24.0,23.14,23.29,18.86,19.0,19.57,20.43,20.29,21.57,21.14,22.71
Indiana,Indiana 😷,Red,Flat,1% ^Flat^,1,107229,859,855,831,816,812,806,788,941,939,1003,1032,999,1017,1054,943,924,913,907,939,932,927,885,841,819,770,803,800,857,878,921,Minimal ^Level 1^,0.6% ^0.5% - 0.8%^,Green,14838,49,61% ^Normal^,61% ^Normal^,1.0 ^0.9 - 1.1^,78.0,9.43,9.43,10.43,11.0,10.43,10.29,9.71,10.29,11.14,10.0,10.71,10.57,10.14,11.43
Iowa,Iowa,Bruised Red,Decreasing,-35% ^Decreasing^,-35,73277,522,517,497,526,582,563,550,559,620,707,824,852,859,921,956,946,916,820,806,842,796,765,746,694,697,646,581,600,599,591,Very High ^Level 12^,0.9% ^0.6% - 1.2%^,Bruised Red,4376,22,63% ^Normal^,59% ^Normal^,0.8 ^0.7 - 0.9^,83.0,8.43,7.43,6.57,7.57,7.43,7.43,8.14,9.71,10.29,10.0,8.0,7.57,8.0,7.71
Kansas,Kansas 😷,Bruised Red,Decreasing,-25% ^Decreasing^,-25,49899,491,491,478,478,424,424,424,462,462,578,578,599,599,599,602,602,572,572,596,596,596,615,615,496,496,452,452,452,426,426,Minimal ^Level 1^,0.6% ^0.4% - 0.9%^,Green,3099,22,62% ^Normal^,56% ^Normal^,1.0 ^0.9 - 1.1^,79.0,3.0,3.0,5.43,5.43,5.43,5.57,5.57,5.29,5.29,4.29,4.29,4.29,7.0,7.0
Kentucky,Kentucky 😷,Red,Flat,-2% ^Flat^,-2,58000,634,644,569,563,567,476,602,601,610,615,622,642,759,643,642,660,680,701,703,698,677,667,591,569,555,575,564,596,603,669,Minimal ^Level 1^,0.4% ^0.2% - 0.6%^,Green,19398,88,83% ^Constrained^,66% ^Normal^,0.9 ^0.8 - 1.0^,58.0,9.14,9.43,9.86,10.29,9.43,9.0,7.0,6.71,8.43,8.14,9.14,9.14,9.86,11.0
Louisiana,Louisiana 😷,Bruised Red,Flat,-3% ^Flat^,-3,159253,932,857,800,769,712,712,718,726,713,823,788,746,746,804,761,781,725,744,775,775,742,740,678,737,687,677,677,661,687,703,Minimal ^Level 1^,0.7% ^0.4% - 0.9%^,Green,17658,76,66% ^Normal^,65% ^Normal^,0.9 ^0.8 - 1.0^,154.0,21.86,21.0,18.71,18.71,23.14,22.14,19.14,19.43,20.0,23.86,23.86,20.29,21.0,22.86
Maine,Maine 😷,Green,Increasing,15% ^Increasing^,15,4918,21,23,23,23,24,25,24,23,22,22,23,22,25,25,24,26,25,29,28,25,24,25,24,24,20,23,24,26,29,29,Minimal ^Level 1^,0.3% ^0.1% - 0.6%^,Green,4826,238,71% ^Elevated^,67% ^Normal^,1.1 ^0.7 - 1.5^,114.0,0.14,0.14,0.29,0.29,0.29,0.29,0.29,0.14,0.14,0.0,0.14,0.29,0.29,0.43
Maryland,Maryland 😷,Red,Flat,5% ^Flat^,5,117245,637,627,609,581,575,547,556,565,544,548,548,538,539,527,511,545,548,564,595,616,618,662,625,608,581,556,561,570,538,572,Minimal ^Level 1^,0.4% ^0.2% - 0.6%^,Green,8883,47,70% ^Elevated^,78% ^Elevated^,1.0 ^0.9 - 1.1^,140.0,7.0,8.0,7.57,7.14,6.71,7.0,6.57,7.14,6.57,5.57,5.71,5.57,5.0,6.0
