STATE,STATE NAME,NEW GATING SCORE,14-DAY TREND FOR COVID+,14-DAY TREND OF COVID+,14-DAY CHANGE IN COVID+,TOTAL COVID+,CASES-T-29,CASES-T-28,CASES-T-27,CASES-T-26,CASES-T-25,CASES-T-24,CASES-T-23,CASES-T-22,CASES-T-21,CASES-T-20,CASES-T-19,CASES-T-18,CASES-T-17,CASES-T-16,CASES-T-15,CASES-T-14,CASES-T-13,CASES-T-12,CASES-T-11,CASES-T-10,CASES-T-9,CASES-T-8,CASES-T-7,CASES-T-6,CASES-T-5,CASES-T-4,CASES-T-3,CASES-T-2,CASES-T-1,CASES-T-0,INFLUENZA-LIKE ILLNESS,GATING-CRITERIA-ILI,TESTS CONDUCTED (7-DAY AVG),% OF TEST TARGET (INCIDENCE ADJUSTED),ICU OCCUPIED,BEDS OCCUPIED,RT RANGE (90% CI),DOUBLING TIME (DAYS),DEATHS-13,DEATHS-12,DEATHS-11,DEATHS-10,DEATHS-09,DEATHS-08,DEATHS-07,DEATHS-06,DEATHS-05,DEATHS-04,DEATHS-03,DEATHS-02,DEATHS-01,DEATHS-00,COVID+ RATE IS1
New York,New York 😷,Green,Flat,-1% ^Flat^,-1,427202,715,697,703,700,699,704,717,671,672,668,652,652,652,643,673,662,651,661,654,652,642,631,640,645,646,651,664,654,653,643,Minimal ^Level 1^,Green,77703,265,57% ^Normal^,70% ^Normal^,1.0 ^0.9 - 1.1^,458.0,5.71,5.71,4.43,4.57,4.57,5.14,5.57,6.14,6.0,7.0,6.86,7.43,7.57,7.43,0.8% ^Decreasing^
North Carolina,North Carolina,Red,Decreasing,-20% ^Decreasing^,-20,147932,1911,1962,1924,1931,1876,1848,1899,1889,1836,1900,1879,1827,1787,1742,1725,1634,1582,1523,1555,1571,1473,1391,1396,1365,1337,1277,1248,1239,1269,1267,Minimal ^Level 1^,Green,22116,53,73% ^Elevated^,71% ^Elevated^,0.9 ^0.8 - 1.0^,78.0,27.0,30.0,28.0,28.43,27.14,27.71,28.43,27.86,25.57,26.14,25.57,25.14,27.43,26.0,6.9% ^Increasing^
North Dakota,North Dakota,Bruised Red,Increasing,14% ^Increasing^,14,8968,102,115,118,117,118,122,123,133,123,115,122,124,104,114,113,119,125,123,129,142,133,136,130,142,142,134,142,133,128,143,Minimal ^Level 1^,Green,1358,29,38% ^Normal^,60% ^Normal^,1.0 ^0.8 - 1.1^,41.0,0.43,0.43,0.43,0.43,0.86,0.86,1.14,1.0,1.0,1.0,1.0,0.57,1.0,0.86,9.9% ^Increasing^
Ohio,Ohio 😷,Red,Decreasing,-15% ^Decreasing^,-15,110881,1317,1347,1369,1352,1337,1306,1287,1326,1307,1349,1345,1272,1280,1255,1230,1202,1121,1074,1126,1117,1110,1103,1135,1136,1126,1101,1063,1047,1014,948,Minimal ^Level 1^,Green,22870,73,61% ^Normal^,64% ^Normal^,0.9 ^0.8 - 1.0^,79.0,25.14,23.29,21.86,20.0,19.14,19.71,19.71,19.57,18.86,22.29,22.43,22.71,23.29,24.71,4.4% ^Decreasing^
Oklahoma,Oklahoma,Bruised Red,Decreasing,-20% ^Decreasing^,-20,49923,655,641,647,711,718,860,1036,1064,1046,1110,1053,1093,991,845,813,849,809,824,764,763,766,752,691,672,663,674,682,678,657,646,Minimal ^Level 1^,Green,8662,41,61% ^Normal^,58% ^Normal^,0.9 ^0.8 - 1.0^,51.0,8.14,8.43,7.71,7.57,7.71,7.43,6.29,6.43,6.29,7.71,8.29,8.57,9.14,10.29,7.6% ^Decreasing^
Oregon,Oregon 😷,Yellow,Decreasing,-12% ^Decreasing^,-12,23870,333,330,315,329,335,311,320,325,333,345,341,332,334,325,326,323,299,306,313,311,303,296,292,296,282,287,284,280,272,264,Minimal ^Level 1^,Green,5516,63,70% ^Normal^,75% ^Elevated^,0.9 ^0.8 - 1.0^,60.0,3.29,3.71,4.29,4.29,4.14,5.0,5.29,6.29,5.29,4.43,4.57,4.43,4.14,4.71,4.8% ^Decreasing^
Pennsylvania,Pennsylvania 😷,Yellow,Decreasing,-8% ^Decreasing^,-8,126149,871,819,845,870,912,914,932,946,975,960,925,902,881,842,804,785,778,747,737,752,757,753,774,800,810,815,801,770,757,717,Minimal ^Level 1^,Green,14480,61,66% ^Normal^,69% ^Normal^,0.9 ^0.8 - 1.0^,120.0,15.14,15.43,15.57,15.0,15.43,17.14,20.14,18.14,21.14,21.71,22.0,21.57,21.0,19.71,5.1% ^Decreasing^
Rhode Island,Rhode Island 😷,Red,Flat,1% ^Flat^,1,20795,57,60,62,62,62,62,87,106,105,115,114,114,114,104,95,97,94,102,-2717,-2717,98,95,93,90,85,2920,2931,91,91,95,Minimal ^Level 1^,Green,4011,128,86% ^Severely constrained^,95% ^Constrained^,1.0 ^0.8 - 1.2^,149.0,1.0,1.0,1.14,1.14,0.71,0.71,0.86,0.71,1.0,1.0,1.0,1.14,1.14,1.29,2.3% ^Flat^
South Carolina,South Carolina,Bruised Red,Decreasing,-41% ^Decreasing^,-41,108411,1850,1828,1789,1792,1771,1602,1567,1539,1543,1567,1487,1513,1513,1505,1440,1375,1318,1315,1266,1235,1173,1134,1072,1016,946,917,866,828,792,777,Minimal ^Level 1^,Green,12006,47,74% ^Elevated^,72% ^Elevated^,0.7 ^0.6 - 0.8^,94.0,39.43,35.71,36.57,36.29,36.57,35.86,35.71,34.71,34.57,36.14,34.0,34.14,35.0,30.86,6.7% ^Decreasing^
South Dakota,South Dakota,Bruised Red,Increasing,28% ^Increasing^,28,10566,64,61,64,59,63,70,72,68,81,77,81,80,80,82,84,75,84,87,87,93,92,91,92,89,93,92,96,100,104,107,Minimal ^Level 1^,Green,1060,30,44% ^Normal^,35% ^Normal^,1.1 ^0.9 - 1.2^,66.0,1.71,2.0,1.71,1.57,1.57,1.43,1.43,1.0,0.86,0.86,1.0,1.0,1.14,1.14,9.6% ^Increasing^
Tennessee,Tennessee,Bruised Red,Decreasing,-15% ^Decreasing^,-15,137800,2165,2194,2207,2180,2066,2260,2391,2078,2344,2269,2412,2484,2242,2021,2279,1897,1926,1832,1772,1869,1897,1782,1756,1737,1668,1595,1571,1547,1552,1630,Minimal ^Level 1^,Green,24180,45,71% ^Elevated^,66% ^Normal^,0.9 ^0.8 - 1.0^,56.0,21.86,20.86,21.14,21.43,20.14,22.0,20.71,18.14,17.14,18.57,20.43,22.0,22.14,23.29,7.1% ^Decreasing^
Texas,Texas 😷,Bruised Red,Decreasing,-9% ^Decreasing^,-9,557256,9526,9893,9781,8893,8302,8089,7641,7504,7384,7283,7303,7806,6976,8013,8131,8083,7911,7654,7285,7982,6972,7063,6705,6584,6581,6765,7031,7448,7087,7205,Minimal ^Level 1^,Green,58690,25,75% ^Elevated^,71% ^Elevated^,0.9 ^0.8 - 1.0^,51.0,218.43,218.14,215.14,231.71,210.57,207.0,219.57,212.29,215.14,213.86,217.71,220.57,220.0,217.86,12.0% ^Decreasing^
Utah,Utah,Red,Decreasing,-24% ^Decreasing^,-24,47521,648,670,608,627,613,551,555,549,517,514,462,440,457,446,436,448,460,454,436,422,409,406,395,358,372,367,361,358,344,347,Minimal ^Level 1^,Green,4165,36,56% ^Normal^,51% ^Normal^,0.9 ^0.8 - 1.0^,92.0,4.29,4.43,3.57,3.57,4.43,4.0,3.43,3.29,3.57,4.0,3.86,2.71,2.86,3.71,8.6% ^Decreasing^
Vermont,Vermont 😷,Green,Increasing,45% ^Increasing^,45,1533,9,7,7,7,8,7,6,6,6,4,4,4,4,4,4,4,5,5,5,5,5,6,6,6,8,8,8,9,8,8,Minimal ^Level 1^,Green,1289,137,53% ^Normal^,32% ^Normal^,1.0 ^0.3 - 1.7^,133.0,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6% ^Increasing^
Virginia,Virginia,Red,Decreasing,-7% ^Decreasing^,-7,109019,990,981,972,990,1034,1020,1100,1089,1086,1095,1075,1027,1031,1005,1037,1008,995,1142,1198,1186,1092,1071,1067,1108,994,937,943,953,934,928,Minimal ^Level 1^,Green,17066,56,63% ^Normal^,55% ^Normal^,0.9 ^0.8 - 1.0^,79.0,22.57,20.43,15.29,15.43,15.57,14.29,11.14,9.14,7.57,8.43,7.86,8.29,7.43,8.29,5.5% ^Decreasing^
Washington,Washington 😷,Bruised Red,Decreasing,-19% ^Decreasing^,-19,68264,855,896,886,814,822,832,813,797,804,820,828,711,813,791,771,739,728,731,826,712,700,705,682,660,632,650,623,627,582,588,Minimal ^Level 1^,Green,588,3,84% ^Constrained^,81% ^Constrained^,0.9 ^0.8 - 1.0^,78.0,9.86,12.71,15.43,13.71,13.14,13.86,13.86,14.29,11.86,11.86,11.14,13.29,12.57,13.29,100.0% ^Increasing^
West Virginia,West Virginia,Yellow,Decreasing,-7% ^Decreasing^,-7,8801,113,93,128,130,132,131,130,139,160,125,135,131,128,131,125,119,122,113,118,120,112,118,121,125,120,128,124,125,122,113,Minimal ^Level 1^,Green,4926,132,72% ^Elevated^,69% ^Normal^,1.0 ^0.8 - 1.1^,51.0,1.29,1.57,2.14,3.14,3.43,3.29,4.14,4.14,4.29,4.14,3.0,2.71,2.43,1.86,2.4% ^Decreasing^
Wisconsin,Wisconsin,Red,Decreasing,-7% ^Decreasing^,-7,72134,927,912,933,951,945,962,944,890,915,916,887,906,901,874,872,875,844,871,879,835,851,850,792,805,808,762,773,766,757,783,Minimal ^Level 1^,Green,9417,36,52% ^Normal^,58% ^Normal^,0.9 ^0.8 - 1.0^,61.0,8.43,8.0,7.0,7.14,7.0,6.43,5.86,5.71,5.0,6.0,5.86,5.86,6.57,7.0,8.0% ^Increasing^
