Date,State,Cases_Total,Cases_White,Cases_Black,Cases_LatinX,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Ethnicity_Hispanic,Cases_Ethnicity_NonHispanic,Cases_Ethnicity_Unknown,Deaths_Total,Deaths_White,Deaths_Black,Deaths_LatinX,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown
20200823,MO,75075,27778,12012.0,,,,,2252.0,3003.0,30030.0,6006.0,42792.0,25525,1426.0,855.0,452.0,,,,,12.0,52.0,55.0,51.0,1206.0,168.0
20200823,MP,54,,,,,,,,,54.0,,,,2.0,,,,,,,,,2.0,,,
20200823,MS,77268,25014,31923.0,2357.0,259.0,1232.0,,,5276.0,11833.0,2357.0,47263.0,28274,2237.0,988.0,1067.0,33.0,3.0,83.0,,,30.0,36.0,33.0,1925.0,282.0
20200823,MT,6429,3724,40.0,,26.0,1023.0,,,67.0,1549.0,269.0,4480.0,1680,90.0,35.0,,,,18.0,,,,37.0,,,
20200823,NC,155113,66296,28061.0,,2081.0,1776.0,268.0,,18441.0,38190.0,38826.0,63986.0,52301,2531.0,1414.0,745.0,,32.0,32.0,4.0,,169.0,135.0,243.0,2021.0,267.0
20200823,ND,9876,4777,903.0,,209.0,636.0,,182.0,25.0,3144.0,,,9876,112.0,,,,,,,,,112.0,,,
20200823,NE,31889,20100,2000.0,,1400.0,328.0,49.0,,1800.0,6212.0,10700.0,13800.0,7389,378.0,294.0,27.0,,18.0,10.0,0.0,,12.0,17.0,83.0,249.0,46.0
20200823,NH,7107,4593,355.0,859.0,192.0,,,,250.0,858.0,859.0,5390.0,858,429.0,395.0,9.0,11.0,4.0,,,,2.0,8.0,11.0,410.0,8.0
20200823,NJ,189494,43774,20019.0,36317.0,5994.0,,,,13303.0,70087.0,36317.0,83090.0,70087,15946.0,8495.0,2829.0,3152.0,870.0,,,,288.0,312.0,3152.0,12482.0,312.0
20200823,NM,24396,3395,434.0,10500.0,156.0,8033.0,,,,1878.0,10500.0,12018.0,1878,745.0,165.0,6.0,132.0,2.0,380.0,,,,60.0,132.0,553.0,60.0
20200823,NV,65601,12842,3709.0,17438.0,3184.0,212.0,,,7055.0,21161.0,17438.0,27002.0,21161,1197.0,413.0,94.0,178.0,101.0,8.0,,,10.0,393.0,178.0,626.0,393.0
20200823,NY,429737,,,,,,,,,429737.0,,,,28476.0,8718.0,6413.0,6741.0,1701.0,,,,1838.0,3065.0,6741.0,18670.0,3065.0
20200823,OH,114802,60115,26931.0,,2917.0,151.0,174.0,3369.0,7451.0,13694.0,7307.0,81888.0,25607,3978.0,3066.0,748.0,,42.0,2.0,1.0,53.0,26.0,40.0,89.0,3824.0,65.0
20200823,OK,53165,29056,3764.0,,2068.0,4922.0,,,2110.0,11245.0,10052.0,29257.0,13856,726.0,529.0,44.0,,17.0,65.0,,,26.0,45.0,53.0,581.0,92.0
20200823,OR,24937,9807,845.0,,693.0,592.0,488.0,461.0,8484.0,3567.0,9719.0,11678.0,3540,417.0,276.0,9.0,,18.0,9.0,6.0,4.0,38.0,57.0,49.0,293.0,75.0
20200823,PA,129048,45110,17811.0,,1879.0,,,,1887.0,62361.0,10735.0,31408.0,86905,7578.0,5440.0,1593.0,,162.0,,,,363.0,20.0,447.0,7111.0,20.0
20200823,PR,29896,,,,,,,,,29896.0,,,,390.0,,,,,,,,,390.0,,,
20200823,RI,21022,5655,1896.0,7274.0,,,,521.0,595.0,5081.0,7274.0,8667.0,5081,1030.0,678.0,53.0,93.0,,,,0.0,14.0,192.0,93.0,745.0,192.0
20200823,SC,111988,38177,29500.0,,867.0,,,,6941.0,35633.0,9219.0,53473.0,49294,2504.0,1170.0,877.0,,22.0,,,,67.0,389.0,86.0,1781.0,635.0
20200823,SD,11276,5485,1082.0,1313.0,743.0,1615.0,,,1038.0,0.0,1313.0,9963.0,0,161.0,98.0,2.0,5.0,5.0,37.0,,,14.0,0.0,5.0,156.0,0.0
20200823,TN,143937,69516,27512.0,,1243.0,198.0,96.0,,19423.0,25949.0,21421.0,86443.0,36073,1567.0,946.0,478.0,,15.0,4.0,2.0,,90.0,32.0,115.0,1401.0,51.0
20200823,TX,577537,13090,7439.0,18591.0,741.0,,,,200.0,537476.0,18591.0,21470.0,537476,11370.0,3499.0,1355.0,6201.0,243.0,,,,68.0,4.0,6201.0,5165.0,4.0
20200823,UT,49115,20477,1153.0,18149.0,1134.0,1014.0,2120.0,,5798.0,5244.0,18149.0,25722.0,5244,385.0,196.0,7.0,86.0,21.0,31.0,21.0,,30.0,21.0,86.0,278.0,21.0
20200823,VA,112966,28091,22071.0,29514.0,3295.0,136.0,,618.0,2728.0,26513.0,29514.0,56939.0,26513,2467.0,1332.0,614.0,262.0,126.0,3.0,,3.0,44.0,83.0,262.0,2122.0,83.0
20200823,VI,984,,,,,,,,,984.0,,,,11.0,,,,,,,,,11.0,,,
20200823,VT,1557,1291,170.0,,55.0,2.0,,,32.0,7.0,57.0,1496.0,4,58.0,55.0,,,2.0,,,,1.0,0.0,0.0,58.0,0.0
20200823,WA,71012,18611,2923.0,21094.0,2402.0,812.0,1231.0,1295.0,1065.0,21579.0,21094.0,28339.0,21579,1863.0,1239.0,60.0,255.0,140.0,47.0,31.0,21.0,38.0,32.0,255.0,1576.0,32.0
20200823,WI,75205,48216,9959.0,,2084.0,720.0,,,6764.0,7462.0,16174.0,48877.0,10154,1089.0,788.0,221.0,,30.0,13.0,,,21.0,16.0,128.0,941.0,20.0
20200823,WV,9272,7485,709.0,,,,,,766.0,312.0,,,,178.0,58.0,3.0,,,,,,,117.0,,,
20200823,WY,3579,1848,36.0,478.0,21.0,429.0,12.0,,164.0,685.0,478.0,2510.0,685,37.0,15.0,1.0,2.0,0.0,14.0,,,0.0,5.0,2.0,29.0,5.0
20200819,AK,5247,1096,154.0,,114.0,640.0,186.0,134.0,117.0,2806.0,237.0,1705.0,3305,29.0,12.0,0.0,,2.0,10.0,4.0,0.0,0.0,1.0,0.0,28.0,1.0
20200819,AL,111478,33626,28660.0,,405.0,,,,5670.0,43104.0,6674.0,50893.0,53910,1944.0,995.0,769.0,,4.0,,,,41.0,135.0,56.0,1594.0,294.0
20200819,AR,54216,28771,11909.0,,747.0,161.0,2264.0,,5785.0,4579.0,12096.0,42120.0,0,631.0,383.0,163.0,,9.0,3.0,36.0,,37.0,0.0,56.0,575.0,0.0
20200819,AS,,,,,,,,,,,,,,,,,,,,,,,,,,
20200819,AZ,195557,36148,4918.0,50741.0,1709.0,10686.0,,,5006.0,86349.0,50741.0,58467.0,86349,4634.0,1845.0,142.0,1378.0,51.0,506.0,,,75.0,637.0,1378.0,2619.0,637.0
20200819,CA,638831,70517,17812.0,245505.0,22447.0,1003.0,2398.0,3592.0,52602.0,222955.0,245505.0,170371.0,222955,11523.0,3316.0,892.0,5305.0,1335.0,40.0,53.0,69.0,137.0,376.0,5305.0,5842.0,376.0
20200819,CO,53901,19803,2603.0,20692.0,1110.0,301.0,210.0,711.0,441.0,8015.0,20692.0,25179.0,,1800.0,1130.0,119.0,409.0,57.0,13.0,5.0,23.0,7.0,33.0,409.0,1354.0,33.0
20200819,CT,51314,18001,6770.0,9801.0,730.0,50.0,,172.0,320.0,15470.0,9801.0,26043.0,15470,4457.0,3263.0,658.0,391.0,48.0,2.0,,34.0,20.0,41.0,391.0,4025.0,41.0
20200819,DC,13354,2620,6695.0,,197.0,29.0,35.0,,3499.0,279.0,3344.0,8105.0,1905,600.0,63.0,446.0,77.0,8.0,,,,6.0,0.0,77.0,523.0,0.0
20200819,DE,16643,5773,4330.0,4124.0,217.0,,,,784.0,1415.0,4124.0,11104.0,1415,595.0,364.0,153.0,43.0,1.0,,,,8.0,26.0,43.0,526.0,26.0
20200819,FL,584047,131689,84771.0,160968.0,,,,,34963.0,171656.0,160968.0,210878.0,212201,10067.0,4717.0,1906.0,2445.0,,,,,424.0,575.0,2445.0,6463.0,1159.0
20200819,GA,243982,60081,61786.0,30561.0,3150.0,142.0,240.0,,6575.0,81447.0,30561.0,108403.0,105018,4849.0,2258.0,2103.0,304.0,82.0,4.0,7.0,,25.0,66.0,304.0,4422.0,123.0
20200819,GU,599,69,,,165.0,,256.0,,38.0,71.0,,,,5.0,,,,,,,,,5.0,,,5.0
20200819,HI,5609,351,29.0,,715.0,,936.0,,85.0,3493.0,,,,42.0,,,,,,,,,42.0,,,
20200819,IA,53340,36806,3734.0,,2133.0,533.0,533.0,,533.0,9068.0,9601.0,35206.0,8534,1006.0,820.0,41.0,,25.0,5.0,12.0,,4.0,96.0,64.0,833.0,107.0
