lab_report_date,health_district,number_of_pcr_testing,number_of_positive_pcr_testing,total_number_of_testing,total_number_of_positive
8/31/2020,Fairfax,1574,94,1603,99
8/31/2020,Hampton,147,6,148,6
8/31/2020,Henrico,554,51,590,51
8/31/2020,Lenowisco,81,12,83,12
8/31/2020,Lord Fairfax,183,12,186,12
8/31/2020,Loudoun,531,40,551,41
8/31/2020,Mount Rogers,113,11,125,23
8/31/2020,New River,356,86,370,86
8/31/2020,Norfolk,399,28,402,28
8/31/2020,Out of State,253,3,260,3
8/31/2020,Peninsula,417,31,418,31
8/31/2020,Piedmont,94,7,96,7
8/31/2020,Pittsylvania-Danville,117,22,117,22
8/31/2020,Portsmouth,141,14,141,14
8/31/2020,Prince William,634,52,640,52
8/31/2020,Rappahannock,380,44,384,45
8/31/2020,Rappahannock Rapidan,217,16,225,24
8/31/2020,Richmond,351,39,378,39
8/31/2020,Roanoke,137,11,150,11
8/31/2020,Southside,81,19,81,19
8/31/2020,Thomas Jefferson,422,25,429,26
8/31/2020,Three Rivers,182,12,183,12
8/31/2020,Unknown,13,0,13,0
8/31/2020,Virginia Beach,594,44,598,45
8/31/2020,Western Tidewater,200,27,200,27
8/31/2020,West Piedmont,79,10,84,13
8/30/2020,Alexandria,227,8,246,11
8/30/2020,Alleghany,68,6,81,6
8/30/2020,Arlington,344,10,360,12
8/30/2020,Central Shenandoah,423,40,427,40
8/30/2020,Central Virginia,589,24,592,24
8/30/2020,Chesapeake,256,20,262,21
8/30/2020,Chesterfield,330,19,364,24
8/30/2020,Chickahominy,159,9,166,11
8/30/2020,Crater,224,23,235,24
8/30/2020,Cumberland Plateau,49,4,52,4
8/30/2020,Eastern Shore,31,3,34,3
8/30/2020,Fairfax,1347,74,1462,83
8/30/2020,Hampton,108,9,111,11
8/30/2020,Henrico,387,25,422,32
8/30/2020,Lenowisco,79,10,83,14
8/30/2020,Lord Fairfax,309,5,318,8
8/30/2020,Loudoun,375,33,414,38
8/30/2020,Mount Rogers,211,18,215,18
8/30/2020,New River,90,11,107,11
8/30/2020,Norfolk,303,38,308,38
8/30/2020,Out of State,263,10,267,10
8/30/2020,Peninsula,385,33,394,34
8/30/2020,Piedmont,114,9,118,9
8/30/2020,Pittsylvania-Danville,107,5,110,5
8/30/2020,Portsmouth,123,11,123,11
8/30/2020,Prince William,506,41,531,43
8/30/2020,Rappahannock,333,20,348,21
8/30/2020,Rappahannock Rapidan,161,10,179,21
8/30/2020,Richmond,228,7,248,7
8/30/2020,Roanoke,455,18,462,18
8/30/2020,Southside,87,9,91,9
8/30/2020,Thomas Jefferson,288,15,299,18
8/30/2020,Three Rivers,235,7,243,7
8/30/2020,Unknown,24,2,25,2
8/30/2020,Virginia Beach,503,30,519,30
8/30/2020,Western Tidewater,337,42,339,42
8/30/2020,West Piedmont,90,7,91,7
8/29/2020,Alexandria,167,4,188,5
8/29/2020,Alleghany,139,12,151,12
8/29/2020,Arlington,408,23,451,25
8/29/2020,Central Shenandoah,349,34,357,35
8/29/2020,Central Virginia,669,42,675,43
8/29/2020,Chesapeake,361,21,377,25
8/29/2020,Chesterfield,428,27,472,32
8/29/2020,Chickahominy,171,13,191,14
8/29/2020,Crater,226,22,235,22
8/29/2020,Cumberland Plateau,94,6,100,8
8/29/2020,Eastern Shore,51,0,52,0
8/29/2020,Fairfax,1720,84,1898,97
8/29/2020,Hampton,146,11,150,12
8/29/2020,Henrico,636,45,664,48
8/29/2020,Lenowisco,77,8,85,11
8/29/2020,Lord Fairfax,387,12,392,12
8/29/2020,Loudoun,547,36,591,39
8/29/2020,Mount Rogers,157,19,164,22
8/29/2020,New River,174,10,192,12
8/29/2020,Norfolk,481,36,490,39
8/29/2020,Out of State,442,20,446,20
8/29/2020,Peninsula,428,29,445,30
8/29/2020,Piedmont,133,9,135,9
8/29/2020,Pittsylvania-Danville,149,19,150,19
8/29/2020,Portsmouth,185,15,188,15
8/29/2020,Prince William,710,45,753,49
8/29/2020,Rappahannock,293,14,318,17
8/29/2020,Rappahannock Rapidan,168,10,185,12
8/29/2020,Richmond,335,14,360,14
8/29/2020,Roanoke,889,39,898,39
8/29/2020,Southside,147,19,149,19
8/29/2020,Thomas Jefferson,414,28,421,30
8/29/2020,Three Rivers,148,10,154,10
8/29/2020,Unknown,33,3,33,3
8/29/2020,Virginia Beach,747,42,769,45
8/29/2020,Western Tidewater,264,25,273,26
8/29/2020,West Piedmont,115,23,121,23
8/28/2020,Alexandria,335,11,355,13
8/28/2020,Alleghany,151,13,164,14
8/28/2020,Arlington,460,21,511,22
8/28/2020,Central Shenandoah,307,48,314,49
8/28/2020,Central Virginia,650,16,658,16
8/28/2020,Chesapeake,369,30,376,31
8/28/2020,Chesterfield,574,61,618,65
8/28/2020,Chickahominy,194,23,203,23
8/28/2020,Crater,278,33,288,33
8/28/2020,Cumberland Plateau,78,6,86,7
8/28/2020,Eastern Shore,55,0,55,0
8/28/2020,Fairfax,1765,111,1958,124
8/28/2020,Hampton,134,11,142,11
8/28/2020,Henrico,739,48,771,53
8/28/2020,Lenowisco,251,19,259,24
8/28/2020,Lord Fairfax,513,20,525,20
8/28/2020,Loudoun,550,46,601,47
8/28/2020,Mount Rogers,498,83,519,97
8/28/2020,New River,660,135,687,137
8/28/2020,Norfolk,671,47,678,47
8/28/2020,Out of State,512,30,520,30
8/28/2020,Peninsula,445,62,452,63
8/28/2020,Piedmont,201,11,205,12
8/28/2020,Pittsylvania-Danville,148,21,155,23
8/28/2020,Portsmouth,161,14,162,15
8/28/2020,Prince William,835,64,889,69
