lab_report_date,health_district,number_of_pcr_testing,number_of_positive_pcr_testing,total_number_of_testing,total_number_of_positive
8/29/2020,Arlington,392,23,434,25
8/29/2020,Central Shenandoah,348,33,356,34
8/29/2020,Central Virginia,669,42,675,43
8/29/2020,Chesapeake,358,22,374,26
8/29/2020,Chesterfield,402,27,428,31
8/29/2020,Chickahominy,164,13,182,14
8/29/2020,Crater,224,21,231,21
8/29/2020,Cumberland Plateau,94,6,99,7
8/29/2020,Eastern Shore,53,0,54,0
8/29/2020,Fairfax,1619,83,1788,95
8/29/2020,Hampton,145,11,149,12
8/29/2020,Henrico,502,44,517,47
8/29/2020,Lenowisco,77,8,85,11
8/29/2020,Lord Fairfax,320,12,325,12
8/29/2020,Loudoun,519,36,563,39
8/29/2020,Mount Rogers,156,18,163,21
8/29/2020,New River,174,10,178,12
8/29/2020,Norfolk,477,35,486,38
8/29/2020,Out of State,427,18,427,18
8/29/2020,Peninsula,423,28,440,29
8/29/2020,Piedmont,133,9,134,9
8/29/2020,Pittsylvania-Danville,149,19,150,19
8/29/2020,Portsmouth,183,15,186,15
8/29/2020,Prince William,673,45,714,49
8/29/2020,Rappahannock,278,14,303,17
8/29/2020,Rappahannock Rapidan,163,9,179,11
8/29/2020,Richmond,257,13,266,13
8/29/2020,Roanoke,888,38,894,38
8/29/2020,Southside,147,19,149,19
8/29/2020,Thomas Jefferson,413,28,419,30
8/29/2020,Three Rivers,147,10,153,10
8/29/2020,Unknown,19,2,19,2
8/29/2020,Virginia Beach,738,41,760,44
8/29/2020,Western Tidewater,257,25,266,26
8/29/2020,West Piedmont,115,23,120,23
8/28/2020,Alexandria,318,10,337,12
8/28/2020,Alleghany,155,13,160,14
8/28/2020,Arlington,423,21,472,22
8/28/2020,Central Shenandoah,302,44,309,45
8/28/2020,Central Virginia,650,16,657,16
8/28/2020,Chesapeake,362,30,369,31
8/28/2020,Chesterfield,546,58,572,61
8/28/2020,Chickahominy,183,22,190,22
8/28/2020,Crater,275,33,282,33
8/28/2020,Cumberland Plateau,78,6,86,7
8/28/2020,Eastern Shore,55,0,55,0
8/28/2020,Fairfax,1609,111,1777,123
8/28/2020,Hampton,134,11,142,11
8/28/2020,Henrico,704,47,721,52
8/28/2020,Lenowisco,251,19,259,24
8/28/2020,Lord Fairfax,291,20,303,20
8/28/2020,Loudoun,517,46,563,47
8/28/2020,Mount Rogers,498,83,519,97
8/28/2020,New River,660,135,665,137
8/28/2020,Norfolk,669,46,676,46
8/28/2020,Out of State,353,21,356,21
8/28/2020,Peninsula,447,63,453,64
8/28/2020,Piedmont,133,11,135,12
8/28/2020,Pittsylvania-Danville,147,20,153,22
8/28/2020,Portsmouth,161,14,162,15
8/28/2020,Prince William,755,65,803,70
8/28/2020,Rappahannock,401,30,416,30
8/28/2020,Rappahannock Rapidan,211,10,231,19
8/28/2020,Richmond,432,28,442,30
8/28/2020,Roanoke,390,30,400,31
8/28/2020,Southside,118,11,122,11
8/28/2020,Thomas Jefferson,475,53,491,57
8/28/2020,Three Rivers,232,11,238,12
8/28/2020,Unknown,35,3,35,3
8/28/2020,Virginia Beach,706,40,733,43
8/28/2020,Western Tidewater,284,31,290,31
8/28/2020,West Piedmont,140,25,146,27
8/27/2020,Alexandria,317,13,344,17
8/27/2020,Alleghany,148,6,154,7
8/27/2020,Arlington,418,27,453,30
8/27/2020,Central Shenandoah,292,57,300,57
8/27/2020,Central Virginia,867,69,881,69
8/27/2020,Chesapeake,339,50,359,52
8/27/2020,Chesterfield,617,45,670,56
8/27/2020,Chickahominy,198,13,210,13
8/27/2020,Crater,265,28,280,28
8/27/2020,Cumberland Plateau,64,2,69,2
8/27/2020,Eastern Shore,69,3,71,3
8/27/2020,Fairfax,1693,87,1877,99
8/27/2020,Hampton,145,9,150,10
8/27/2020,Henrico,751,52,781,54
8/27/2020,Lenowisco,181,8,191,11
8/27/2020,Lord Fairfax,277,9,280,10
8/27/2020,Loudoun,662,44,714,47
8/27/2020,Mount Rogers,244,32,261,43
8/27/2020,New River,372,66,377,66
8/27/2020,Norfolk,509,28,521,31
8/27/2020,Out of State,354,24,361,25
8/27/2020,Peninsula,549,50,563,51
8/27/2020,Piedmont,143,13,146,13
8/27/2020,Pittsylvania-Danville,233,36,237,37
8/27/2020,Portsmouth,214,24,215,25
8/27/2020,Prince William,709,67,765,75
8/27/2020,Rappahannock,460,38,482,39
8/27/2020,Rappahannock Rapidan,179,12,199,18
8/27/2020,Richmond,500,26,517,27
8/27/2020,Roanoke,158,7,168,7
8/27/2020,Southside,112,14,114,14
8/27/2020,Thomas Jefferson,454,39,468,41
8/27/2020,Three Rivers,182,7,190,10
8/27/2020,Unknown,26,2,26,2
8/27/2020,Virginia Beach,660,44,684,45
8/27/2020,Western Tidewater,457,55,462,55
